b'Herm\xc3\xa8s Tie',"b""Men's chocolate brown, periwinkle and saffron Herm\xc3\xa8s silk necktie with geometric print throughout."""
b'Herm\xc3\xa8s Tie',"b""Men's taupe, blue and red Herm\xc3\xa8s silk necktie with horse motif throughout."""
b'Herm\xc3\xa8s Tie',"b""Men's white, black and pink Herm\xc3\xa8s silk tie with 'H' throughout and logo at end."""
b'Herm\xc3\xa8s Tie',"b""Men's salmon and multicolor Herm\xc3\xa8s silk tie with swirl motif and logo at end."""
b'Herm\xc3\xa8s Tie',"b""Men's peach, burgundy and ivory Herm\xc3\xa8s silk necktie with stripes and layered H motif."""
b'Herm\xc3\xa8s Tie',"b""Men's green Herm\xc3\xa8s camel print necktie."""
b'Herm\xc3\xa8s Tie',"b""Men's mint green Herm\xc3\xa8s silk printed necktie."""
b'Herm\xc3\xa8s Tie',"b""Men's blue and multicolor Herm\xc3\xa8s woven printed silk tie with ornate pattern throughout."""
b'Herm\xc3\xa8s Silk Tie',"b""Men's orange, brown and multicolor Herm\xc3\xa8s silk tie with floral motif."""
b'Herm\xc3\xa8s Tie',"b""Men's sand, tan and multicolor Herm\xc3\xa8s silk necktie with rabbit motif."""
b'Herm\xc3\xa8s Vintage patterned tie',b'Brown and yellow silk patterned tie from Herm\xc3\xa8s Vintage featuring a pointed tip and a printed logo. This item is true to fit.'
b'Herm\xc3\xa8s Tie',"b""Men's green, blue and purple Herm\xc3\xa8s silk necktie with stripes throughout."""
b'Herm\xc3\xa8s Tie',"b""Men's mustard Herm\xc3\xa8s silk printed necktie."""
b'Herm\xc3\xa8s Tie',"b""Men's green, yellow and multicolor Herm\xc3\xa8s silk necktie with rope motif."""
b'Herm\xc3\xa8s Tie',"b""Men's yellow and taupe Herm\xc3\xa8s silk printed necktie."""
b'Herm\xc3\xa8s Tie',"b""Men's Herm\xc3\xa8s gold, brown and multicolor circular print silk tie."""
b'Herm\xc3\xa8s Tie',"b""Men's burgundy Herm\xc3\xa8s tie with golf course motif."""
b'Herm\xc3\xa8s Necktie',"b""Men's blue and multicolor Herm\xc3\xa8s woven printed silk necktie with leaf design throughout."""
b'Herm\xc3\xa8s Tie',"b""Men's blue and green Herm\xc3\xa8s silk tie."""
b'Herm\xc3\xa8s Tie',"b""Men's grass Herm\xc3\xa8s silk dot print necktie."""
b'Herm\xc3\xa8s Tie',"b""Men's yellow and multicolor Herm\xc3\xa8s printed silk tie with logo at end."""
b'Herm\xc3\xa8s Tie',"b""Men's yellow and multicolor Herm\xc3\xa8s silk tie with wreath motif and logo at end."""
b'Herm\xc3\xa8s Tie',"b""Men's yellow Herm\xc3\xa8s silk printed necktie."""
b'Herm\xc3\xa8s Tie',"b""Men's green, yellow and navy Herm\xc3\xa8s silk necktie with geometric print throughout."""
b'Herm\xc3\xa8s Silk Tie',"b""Men's green and cream Herm\xc3\xa8s silk striped necktie."""
b'Herm\xc3\xa8s Tie',"b""Men's navy, burgundy and multicolor Herm\xc3\xa8s silk necktie with tropical motif."""
b'Herm\xc3\xa8s Tie',"b""Men's ice blue, burgundy and multicolor Herm\xc3\xa8s silk necktie with harvest motif."""
b'Herm\xc3\xa8s Tie',"b""Men's navy and multicolor Herm\xc3\xa8s silk tie with horse motif and logo at end."""
b'Herm\xc3\xa8s Tie',"b""Men's pale yellow Herm\xc3\xa8s silk embroidered necktie."""
b'Herm\xc3\xa8s Tie',"b""Men's navy, white and multicolor Herm\xc3\xa8s silk necktie with sailboat motif."""
b'Herm\xc3\xa8s Tie',"b""Men's green Herm\xc3\xa8s silk print tie."""
b'Herm\xc3\xa8s Vintage jacquard tie',b'Grey and orange silk jacquard tie from Herm\xc3\xa8s Vintage circa 1990 featuring a pointed tip and a logo tag to the rear. Please note that vintage items are not new and therefore might have minor imperfections.'
b'Herm\xc3\xa8s Vintage striped tie',"b'Bordeaux silk tie from Herm\xc3\xa8s Vintage featuring a tonal striped print, a pointed tip and a printed logo. Please note that vintage items are not new and therefore might have minor imperfections. This item fits true to size.'"
b'Herm\xc3\xa8s Vintage patterned tie',b'Brown and green silk patterned tie from Herm\xc3\xa8s Vintage featuring a pointed tip and a printed logo. This item is true to fit.'
b'Herm\xc3\xa8s Vintage geometric pattern tie',b'Tonal blue silk geometric pattern tie from Herm\xc3\xa8s Vintage. Please note that vintage items are not new and therefore might have minor imperfections.'
b'Herm\xc3\xa8s Tie',"b""Men's navy blue Herm\xc3\xa8s cherry print necktie."""
b'Herm\xc3\xa8s Ascot',b'Beige silk ascot with center pleating'
b'Herm\xc3\xa8s Tie',"b""Men's lime, blue and orange Herm\xc3\xa8s silk stripe necktie."""
b'Herm\xc3\xa8s Tie',"b""Men's gold Herm\xc3\xa8s silk fish print necktie."""
b'Herm\xc3\xa8s Tie',"b""Men's yellow Herm\xc3\xa8s silk printed necktie."""
b'Herm\xc3\xa8s Tie',"b""Men's crimson, bone and black Herm\xc3\xa8s silk necktie with geometric print throughout."""
b'Herm\xc3\xa8s Tie',"b""Men's lime and pistachio Herm\xc3\xa8s printed silk tie with 'H' throughout and logo at end."""
b'Herm\xc3\xa8s Tie',"b""Men's deep pink, saffron and taupe Herm\xc3\xa8s silk necktie with geometric print throughout."""
b'Herm\xc3\xa8s Tie',"b""Men's red, blue and yellow Herm\xc3\xa8s silk necktie with geometric print throughout."""
b'Herm\xc3\xa8s Tie',"b""Men's raisin, bone and multicolor Herm\xc3\xa8s silk necktie with geometric print throughout."""
b'Herm\xc3\xa8s Tie',"b""Men's steel blue, navy and multicolor Herm\xc3\xa8s silk necktie with geometric print throughout."""
b'Herm\xc3\xa8s Tie',"b""Men's blue, green and multicolor Herm\xc3\xa8s silk necktie with horse motif."""
b'Herm\xc3\xa8s Tie',"b""Men's red, blue and multicolor Herm\xc3\xa8s printed Silk Necktie."""
b'Herm\xc3\xa8s Tie',"b""Men's blue, yellow and red Herm\xc3\xa8s silk printed necktie."""
b'Herm\xc3\xa8s Tie',"b""Men's yellow and multicolor Herm\xc3\xa8s printed silk tie with logo at end."""
