b'Bow Tie',b'<ul> <li>white</li> <li>handmade</li> <li>100% silk twill</li> </ul>'
b'light blue silk jacquard GG pattern tie',"b'<ul> <li>light blue</li> <li>Made in Italy</li> <li>handmade</li> <li>100% silk jacquard</li> <li>3.2""""W x 54.6""""L</li> </ul>'"
b'GG pattern tie with web detail.',"b'<ul> <li>beige and brown GG</li> <li>Made in Italy</li> <li>handmade</li> <li>100% silk jacquard</li> <li>3.2""""W x 54.6""""L</li> </ul>'"
b'GG horsebit pattern silk twill tie',"b'<ul> <li>blue and light blue</li> <li>100% silk</li> <li>3.2""""W x 54.6""""L</li> <li>Made in Italy</li> </ul>'"
b'Patterned Woven Silk Tie',"b'<ul> <li>dark grey and grey</li> <li>100% silk</li> <li>2.8""""W x 54.6""""L</li> <li>Made in Italy</li> </ul>'"
b'Patterned Woven Silk Tie',"b'<ul> <li>red and grey</li> <li>100% silk</li> <li>3.1""""W x 54.5""""L</li> <li>Made in Italy</li> </ul>'"
b'Patterned Habutai Silk Bow Tie',b'<ul> <li>midnight blue and red</li> <li>100% silk</li> <li>Made in Italy</li> </ul>'
b'Striped Woven Silk Tie',"b'<ul> <li>dark brown and pink</li> <li>100% silk</li> <li>2.8""""W x 57.5""""L</li> <li>Made in Italy</li> </ul>'"
b'Patterned Woven Silk Tie',"b'<ul> <li>bordeaux and pink</li> <li>100% silk</li> <li>3.1""""W x 54.5""""L</li> <li>Made in Italy</li> </ul>'"
b'Patterned Silk Twill Tie',"b'<ul> <li>sapphire and pink</li> <li>100% silk</li> <li>3.1""""W x 54.5""""L</li> <li>Made in Italy</li> </ul>'"
b'Spur Patterned Woven Silk Tie',"b'<ul> <li>bordeaux and red</li> <li>100% silk</li> <li>2.8""""W x 57.5""""L</li> <li>Made in Italy</li> </ul>'"
b'Patterned Woven Silk Tie',"b'<ul> <li>blue and grey</li> <li>100% silk</li> <li>2.8""""W x 54.6""""L</li> <li>Made in Italy</li> </ul>'"
b'Striped Woven Silk Tie',"b'<ul> <li>black and dark brown</li> <li>100% silk</li> <li>2.8""""W x 54.6""""L</li> <li>Made in Italy</li> </ul>'"
b'Patterned Woven Silk Tie',"b'<ul> <li>black and grey</li> <li>100% silk</li> <li>2.8""""W x 54.6""""L</li> <li>Made in Italy</li> </ul>'"
b'GG pattern silk jacquard tie',"b'<ul> <li>website exclusive</li> <li>pink and beige</li> <li>Made in Italy</li> <li>handmade</li> <li>100% silk jacquard</li> <li>3.2""""W x 54.6""""L</li> </ul>'"
b'Gucci Tie',"b""Men's crimson, navy and sky blue Gucci silk necktie with geometric print throughout."""
b'Gucci Tie',"b""Men's grey and navy Gucci silk necktie with geometric print throughout."""
b'Gucci Tie',"b""Men's burgundy, red and orange Gucci silk necktie with geometric print throughout."""
b'Gucci Tie',"b""Men's beige, green and brick Gucci silk printed tie."""
b'Gucci dogtooth tie',b'Black and white silk dogtooth tie from Gucci featuring a pointed tip.'
b'Gucci classic tie',b'Grey silk classic tie from Gucci featuring a branded rear patch and an embroidered logo to the rear.'
b'Gucci classic tie',b'Navy silk classic tie from Gucci featuring a pointed tip.'
b'Gucci Small-GG jacquard silk tie',"b'<ul><li>Black, dark-grey and light-grey GG-jacquard, silk</li><li>Black GG-jacquard lining</li><li>100% silk.</li><li>Dry clean</li><li>Country of Origin: Italy</li></ul>'"
b'Gucci Horsebit-jacquard silk tie',"b'<ul><li>Navy, burgundy and silver-grey horsebit-jacquard, silk</li><li>Navy GG jacquard lining </li><li>100% silk</li><li>Dry clean</li><li>Country of origin: Italy</li></ul>'"
b'Gucci Horsebit-jacquard silk tie',"b'<ul><li>Forest-green, dark-brown and champagne-beige horsebit jacquard, silk</li><li>Dark-brown GG-jacquard lining</li><li>100% silk.</li><li>Dry clean</li><li>Country of Origin: Italy</li></ul>'"
b'Gucci Retro silk tie',"b'<ul><li>Khaki-brown and black geometric jacquard, silk</li><li>Silver-grey jacquard pin-dots</li><li>Navy GG-jacquard lining</li><li>100% silk.</li><li>Dry clean</li><li>Country of Origin: Italy</li></ul>'"
b'Gucci Micro-weave jacquard silk tie',"b'<ul><li>Navy and dark-greyjacquard, silk</li><li>Navy GG-jacquard lining</li><li>100% silk.</li><li>Dry clean</li><li>Country of Origin: Italy</li></ul>'"
b'Gucci Retro silk tie',"b'<ul><li>Silver-grey and navy geometric-jacquard, silk</li><li>Red jacquard pin-dots</li><li>Black GG-jacquard lining</li><li>100% silk.</li><li>Dry clean</li><li>Country of Origin: Italy</li></ul>'"
b'Gucci Wool and silk-blend bow tie',"b'<ul><li>Black, wool and silk-blend</li><li>Adjustable hook fastening</li><li>68% wool, 32% silk</li><li>Dry clean</li><li>Country of Origin: Italy</li></ul>'"
b'Striped Woven Silk Tie',"b'<ul> <li>red and dark grey</li> <li>100% silk</li> <li>2.8""""W x 54.6""""L</li> <li>Made in Italy</li> </ul>'"
b'Patterned Woven Silk Tie',"b'<ul> <li>olive green</li> <li>100% silk</li> <li>2.8""""W x 54.6""""L</li> <li>Made in Italy</li> </ul>'"
b'Striped Silk Twill Bow Tie',b'<ul> <li>dark blue and red</li> <li>100% silk</li> <li>Made in Italy</li> </ul>'
b'GG patterned silk twill tie',"b'<ul> <li>navy and beige</li> <li>Made in Italy</li> <li>100% silk twill</li> <li>3.2""""W x 54.6""""L</li> </ul>'"
b'Solid Tie.',"b'<ul> <li>website exclusive</li> <li>white</li> <li>handmade</li> <li>100% silk jacquard</li> <li>3.2""""W x 54.6""""L</li> </ul>'"
b'Gg Pattern Silk Tie',"b'<ul> <li>grey GG</li> <li>Made in Italy</li> <li>handmade</li> <li>100% silk jacquard</li> <li>3.2""""W x 54.6""""L</li> </ul>'"
b'Dot Patterned Silk Bow Tie',b'<ul> <li>black and white</li> <li>Made in Italy</li> <li>woven</li> <li>100% silk</li> </ul>'
b'Dot Patterned Silk Bow Tie',b'<ul> <li>lilac and blue</li> <li>Made in Italy</li> <li>woven</li> <li>100% silk</li> </ul>'
b'Dotted Woven Silk Tie',"b'<ul> <li>sapphire blue and dark grey</li> <li>100% silk</li> <li>2.8""""W x 54.6""""L</li> <li>Made in Italy</li> </ul>'"
b'Dotted Woven Silk Tie',"b'<ul> <li>black and grey</li> <li>100% silk</li> <li>2.8""""W x 54.6""""L</li> <li>Made in Italy</li> </ul>'"
b'Dotted Woven Silk Tie',"b'<ul> <li>brown and light brown</li> <li>100% silk</li> <li>2.8""""W x 54.6""""L</li> <li>Made in Italy</li> </ul>'"
b'Interlocking G Striped Woven Silk Tie',"b'<ul> <li>orange and light brown</li> <li>100% silk</li> <li>2.8""""W x 54.6""""L</li> <li>Made in Italy</li> </ul>'"
