,id,priceLabel,name,brandId,brandName,imageLink,desc,vendor,striped,material,cashmere
b'75',b'462309754',b'105.01',b'Herm\xc3\xa8s Vintage logo jacquard tie',b'1274',b'Hermes',b'http://bim.shopstyle.com/pim/80/4d/804dec232165d6a14a8e7b8c7813b9ee_best.jpg',b'Brown silk logo jacquard tie from Herm\xc3\xa8s Vintage circa 1990 featuring a pointed tip and a logo tag at the rear. Please note that vintage items are not new and therefore might have minor imperfections.',b'farfetch.com',b'unknown',b'_silk'
b'88',b'462306922',b'95.0',b'Herm\xc3\xa8s Tie',b'1274',b'Hermes',b'http://bim.shopstyle.com/pim/8d/5f/8d5f4d9fce3d9656981ad6f2a03cfc40_best.jpg',"b""Men's navy blue, red and white silk Herm\xc3\xa8s tie with buckle motif.""",b'TheRealReal',b'unknown',b'_silk'
b'89',b'461789538',b'95.0',b'Herm\xc3\xa8s Tie',b'1274',b'Hermes',b'http://bim.shopstyle.com/pim/20/32/203200d3f0ba4028f93ffe1ba7ad5b5c_best.jpg',"b""Men's red Herm\xc3\xa8s silk moon and star print tie.""",b'TheRealReal',b'_print',b'_silk'
b'125',b'461789186',b'60.0',b'Herm\xc3\xa8s Tie',b'1274',b'Hermes',b'http://bim.shopstyle.com/pim/8d/d7/8dd762bd8bc44ec056fa5ac56e9d5782_best.jpg',"b""Men's Tan silk printed tie.""",b'TheRealReal',b'_print',b'_silk'
b'126',b'461792699',b'75.0',b'Herm\xc3\xa8s Tie',b'1274',b'Hermes',b'http://bim.shopstyle.com/pim/4e/da/4edaaf6b504cbd243bc1e81e921b8d74_best.jpg',"b""Men's navy, red and multicolor Herm\xc3\xa8s silk necktie with animal motif.""",b'TheRealReal',b'unknown',b'_silk'
b'164',b'462634554',b'125.0',b'Herm\xc3\xa8s Tie',b'1274',b'Hermes',b'http://bim.shopstyle.com/pim/b0/d6/b0d62b5ad06ca4944d01adf36d52d90e_best.jpg',"b""Men's red, yellow and navy Herm\xc3\xa8s silk necktie with horsebit motif.""",b'TheRealReal',b'unknown',b'_silk'
b'165',b'462907284',b'95.0',b'Herm\xc3\xa8s Tie',b'1274',b'Hermes',b'http://bim.shopstyle.com/pim/2e/cd/2ecd21489e9d5c73b104f44ea149e806_best.jpg',"b""Men's slate Herm\xc3\xa8s silk printed necktie.""",b'TheRealReal',b'_print',b'_silk'
b'166',b'461789532',b'95.0',b'Herm\xc3\xa8s Tie',b'1274',b'Hermes',b'http://bim.shopstyle.com/pim/13/89/1389b2e744a09b36baa9801c0f2d65fd_best.jpg',"b""Men's red Herm\xc3\xa8s silk print tie.""",b'TheRealReal',b'_print',b'_silk'
b'167',b'461789811',b'95.0',b'Herm\xc3\xa8s Tie',b'1274',b'Hermes',b'http://bim.shopstyle.com/pim/48/5c/485c930388b1177f83a0eda50aa150b4_best.jpg',"b""Men's crimson, silver-tone and black Herm\xc3\xa8s silk necktie with turtle motif throughout.""",b'TheRealReal',b'unknown',b'_silk'
b'168',b'462481646',b'60.0',b'Herm\xc3\xa8s Tie',b'1274',b'Hermes',b'http://bim.shopstyle.com/pim/dd/57/dd57d7b6713cced7484c02ef5b3fdfdd_best.jpg',"b""Men's red, tan and multicolor Herm\xc3\xa8s silk necktie with logging motif.""",b'TheRealReal',b'unknown',b'_silk'
b'169',b'462633357',b'95.0',b'Herm\xc3\xa8s Tie',b'1274',b'Hermes',b'http://bim.shopstyle.com/pim/62/ef/62efd5f6d1006a4d4977b7c14fcc35f2_best.jpg',"b""Men's light pink, light blue and light yellow Herm\xc3\xa8s silk necktie with H motif.""",b'TheRealReal',b'unknown',b'_silk'
b'175',b'462309730',b'160.73',b'Herm\xc3\xa8s Vintage ship print tie',b'1274',b'Hermes',b'http://bim.shopstyle.com/pim/bd/fb/bdfbeefca9f524f486c16a093a36b13f_best.jpg',b'Red silk ship print tie from Herm\xc3\xa8s Vintage circa 1990 featuring a pointed tip and a front logo patch to the rear. Please note that vintage items are not new and therefore might have minor imperfections.',b'farfetch.com',b'_print',b'_silk'
b'178',b'444128493',b'124.19',b'Herm\xc3\xa8s Vintage patterned tie',b'1274',b'Hermes',b'http://bim.shopstyle.com/pim/a3/e0/a3e0b16a073aa0c4493273417186c1a9_best.jpg',b'Red and white silk patterned tie from Herm\xc3\xa8s Vintage featuring a pointed tip and a printed logo. This item is true to fit.',b'farfetch.com',b'_print',b'_silk'
b'243',b'461789541',b'95.0',b'Herm\xc3\xa8s Tie',b'1274',b'Hermes',b'http://bim.shopstyle.com/pim/3c/69/3c69896e1b095d9da94f1be844fb9180_best.jpg',"b""Men's crimson Herm\xc3\xa8s silk print tie.""",b'TheRealReal',b'_print',b'_silk'
b'244',b'462481327',b'75.0',b'Herm\xc3\xa8s Silk Tie',b'1274',b'Hermes',b'http://bim.shopstyle.com/pim/e3/6d/e36d2940d24acf53722c4f9966dd4857_best.jpg',"b""Men's brown and multicolor Herm\xc3\xa8s silk tie with drum motif.""",b'TheRealReal',b'unknown',b'_silk'
b'249',b'461792841',b'95.0',b'Herm\xc3\xa8s Silk Tie',b'1274',b'Hermes',b'http://bim.shopstyle.com/pim/42/49/424970ad763cbc4d70a2a0af49c44ed9_best.jpg',"b""Men's green and red Herm\xc3\xa8s silk tie with horse motif and logo at end.""",b'TheRealReal',b'unknown',b'_silk'
b'250',b'462636745',b'95.0',b'Herm\xc3\xa8s Tie',b'1274',b'Hermes',b'http://bim.shopstyle.com/pim/a9/69/a96973317bdbecdd34ccce982a591663_best.jpg',"b""Men's red and multicolor Herm\xc3\xa8s silk necktie with harvest motif.""",b'TheRealReal',b'unknown',b'_silk'
b'252',b'464745979',b'95.0',b'Herm\xc3\xa8s Tie',b'1274',b'Hermes',b'http://bim.shopstyle.com/pim/8a/53/8a536ba2f93a01c06213674a7ccd2b19_best.jpg',"b""Men's dark pink, grey and black Herm\xc3\xa8s silk necktie with chain design.""",b'TheRealReal',b'unknown',b'_silk'
b'254',b'465343900',b'95.0',b'Herm\xc3\xa8s Tie',b'1274',b'Hermes',b'http://bim.shopstyle.com/pim/39/f3/39f3fd5012ccfcaee70eca2da89ffbb2_best.jpg',"b""Men's light pink Herm\xc3\xa8s silk horse print tie.""",b'TheRealReal',b'_print',b'_silk'
b'262',b'365159923',b'239.69',b'Herm\xc3\xa8s Vintage checked tie',b'1274',b'Hermes',b'http://bim.shopstyle.com/pim/3e/7f/3e7f5be473ce0b3f05099e0b6e5703cc_best.jpg',"b""1980's black silk tie from Herm\xc3\xa8s featuring a monochrome checked design and a logo patch. Please note that vintage items are not new but often between 20 and 50 years old, and therefore will always have minor imperfections, even when the items have been used and worn with love and care.""",b'farfetch.com',b'unknown',b'_silk'
b'269',b'461282675',b'101.8',b'Herm\xc3\xa8s Vintage purple patterned tie',b'1274',b'Hermes',b'http://bim.shopstyle.com/pim/f5/73/f57334c615fafa03d587cca739463d26_best.jpg',b'Purple silk purple patterned 90s tie from Herm\xc3\xa8s Vintage featuring a pointed tip and a branded rear patch. Please note that vintage items are not new and therefore might have minor imperfections.',b'farfetch.com',b'unknown',b'_silk'
b'275',b'453855264',b'129.42',b'Herm\xc3\xa8s Vintage printed tie',b'1274',b'Hermes',b'http://bim.shopstyle.com/pim/70/b6/70b6e62582485580bd5eccbe3c4f7b2c_best.jpg',b'Brown and blue silk printed tie from Herm\xc3\xa8s Vintage featuring a pointed tip. Please note that vintage items are not new and therefore might have minor imperfections. From 1990.',b'farfetch.com',b'_print',b'_silk'
b'430',b'461954062',b'95.0',b'Herm\xc3\xa8s Tie',b'1274',b'Hermes',b'http://bim.shopstyle.com/pim/a0/77/a077304472d33cd40d3e849293e14600_best.jpg',"b""Men's yellow and multicolor Herm\xc3\xa8s printed silk tie with logo at end.""",b'TheRealReal',b'_print',b'_silk'
