,id,priceLabel,name,brandId,brandName,imageLink,desc,vendor,print,material,cashmere
b'314',b'443736102',b'190.0',b'Striped Silk Gauze Tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/7e/d5/7ed5912d313f1eee2bcce333a34f1acd_best.jpg',b'<ul> <li>blue and beige striped silk gauze</li> <li>100% silk</li> <li>Made in Italy</li> </ul>',b'Gucci',b'_striped',b'_silk',b'False'
b'315',b'450711530',b'200.0',b'Patterned Silk Tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/5c/f2/5cf21588d59618fae31dda7bdbbf6673_best.jpg',"b'<ul> <li>bordeaux and red</li> <li>100% silk</li> <li>2.8""""W x 54.6""""L</li> <li>Made in Italy</li> </ul>'",b'Gucci',b'unknown',b'_silk',b'False'
b'316',b'379412810',b'200.0',b'pink silk jacquard GG pattern tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/bf/a9/bfa9d4d15225d430ee217769c5f8c8c3_best.jpg',"b'<ul> <li>pink</li> <li>Made in Italy</li> <li>handmade</li> <li>100% silk jacquard</li> <li>3.2""""W x 54.6""""L</li> </ul>'",b'Gucci',b'unknown',b'_silk',b'False'
b'352',b'462580451',b'170.0',b'Patterned Habutai Silk Bow Tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/be/c1/bec1054d133aa53713c961633df5bef8_best.jpg',b'<ul> <li>off-white and yellow</li> <li>100% silk</li> <li>Made in Italy</li> </ul>',b'Gucci',b'unknown',b'_silk',b'False'
b'353',b'462580861',b'200.0',b'Patterned Cotton Knit Tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/b1/5c/b15c3e3a198328a7cb38ed14db322dfa_best.jpg',b'<ul> <li>bordeaux and grey</li> <li>100% cotton</li> <li>Made in Italy</li> </ul>',b'Gucci',b'unknown',b'_cotton',b'False'
b'354',b'462580930',b'200.0',b'Striped Woven Silk Tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/05/e7/05e722a0e69cf654b6d3f005269fed1a_best.jpg',"b'<ul> <li>red and light blue</li> <li>100% silk</li> <li>3.1""""W x 54.5""""L</li> <li>Made in Italy</li> </ul>'",b'Gucci',b'unknown',b'_silk',b'False'
b'416',b'452152693',b'170.0',b'Gucci Silk-Satin Bow Tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/46/4c/464cf2f973e69822024d67a80d168851_best.jpg',"b""When the strictest dress codes are expected, a classic black bow tie is an infallible choice. The choice of Academy Award winners from Messrs. Clark Gable to Christian Bale, Gucci 's silk-satin version is the debonair way to complete your look. <ul> <li>Black silk-satin bow tie</li> <li>100% silk</li> <li>Dry clean</li> <li>Made in Italy</li> </ul>""",b'MR PORTER',b'unknown',b'_silk',b'False'
b'432',b'462483742',b'95.0',b'Gucci Tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/92/6b/926b5078469fbc5e7d3763f1d9cee838_best.jpg',"b""Men's royal blue, steel blue and multicolor Gucci silk necktie with vertical stripes and Gs throughout.""",b'TheRealReal',b'_striped',b'_silk',b'False'
b'439',b'462481174',b'95.0',b'Gucci Tie w/ Tags',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/2e/8a/2e8a39b05d258312db0f9065a791a4f1_best.jpg',"b""Men's brown, burgundy and pink Gucci silk stripe necktie.""",b'TheRealReal',b'_striped',b'_silk',b'False'
b'442',b'462481657',b'100.0',b'Gucci Diamante Tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/52/12/5212cbcce58878a753ede29a9a51512b_best.jpg',"b""Men's steel blue and ivory Gucci silk necktie with Diamante print throughout.""",b'TheRealReal',b'_print',b'_silk',b'False'
b'452',b'464138532',b'45.0',b'Gucci Tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/9e/66/9e6634276251ea8422e2f7ea293aeb35_best.jpg',"b""Men's brown Gucci silk necktie with jacquard wavy stripes throughout.""",b'TheRealReal',b'_striped',b'_silk',b'False'
b'455',b'464975642',b'50.0',b'Gucci Tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/f4/04/f40498a953e0ff1d0ccd6c83d389e88c_best.jpg',"b""Men's blue, gold and red Gucci silk printed tie.""",b'TheRealReal',b'_print',b'_silk',b'False'
b'458',b'461790088',b'95.0',b'Gucci Tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/1c/66/1c6690a74b690be4324ce3ed82a9b7b8_best.jpg',"b""Men's navy and steel blue Gucci silk necktie with geometric G print throughout.""",b'TheRealReal',b'_print',b'_silk',b'False'
b'493',b'462310077',b'80.37',b'Gucci Vintage striped tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/c2/2c/c22c03731d44402d85c67a7f8de775c8_best.jpg',b'Blue silk-cotton blend striped tie from Gucci Vintage circa 1990. Please note that vintage items are not new and therefore might have minor imperfections.',b'farfetch.com',b'_striped',b'_cotton',b'False'
b'503',b'458360155',b'150.02',b'Gucci printed tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/7a/55/7a55c4f36adb1799d0e57c701b6d9652_best.jpg',"b'Blue and silver silk printed tie from Gucci featuring branded rear patch, a printed logo to the rear and a graphic print.'",b'farfetch.com',b'_print',b'_silk',b'False'
b'587',b'450711172',b'200.0',b'Striped Woven Silk Tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/8e/0e/8e0e0d70a3052ade3908699efa24df97_best.jpg',"b'<ul> <li>graphite and blue</li> <li>100% silk</li> <li>2.8""""W x 54.6""""L</li> <li>Made in Italy</li> </ul>'",b'Gucci',b'unknown',b'_silk',b'False'
b'588',b'450711493',b'200.0',b'Patterned Woven Silk Tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/a0/b5/a0b5d45c91c84202e663c850bd3a15a7_best.jpg',"b'<ul> <li>dark blue and grey</li> <li>100% silk</li> <li>2.8""""W x 54.6""""L</li> <li>Made in Italy</li> </ul>'",b'Gucci',b'unknown',b'_silk',b'False'
b'589',b'429772973',b'200.0',b'Knitted Tie With Web Detail',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/3d/4f/3d4fd6db8ecea64b50fc1ed6977a593b_best.jpg',"b'<ul> <li>black and dark green</li> <li>Made in Italy</li> <li>100% silk</li> <li>3.2""""W x 54.6""""L</li> </ul>'",b'Gucci',b'unknown',b'_silk',b'False'
